Red,Green,Blue
37,45,32
43,51,38
41,49,36
37,45,32
41,49,36
43,51,38
40,48,35
38,46,33
33,41,26
19,27,12
19,27,12
24,32,17
22,30,15
27,35,20
33,41,26
28,37,20
21,30,13
36,45,26
47,56,37
46,55,36
41,50,31
38,47,28
34,43,26
28,37,20
19,28,11
28,37,20
38,47,30
41,50,33
35,43,28
28,36,21
29,37,22
36,44,29
35,43,32
37,45,34
31,39,28
30,38,27
37,45,34
31,39,28
27,35,24
37,45,34
36,44,33
34,42,31
36,44,33
37,45,34
34,42,31
39,47,36
45,53,42
44,52,41
49,56,48
48,55,47
45,53,42
51,59,48
36,44,31
31,39,26
27,35,20
39,47,32
35,43,28
29,37,22
55,63,48
53,61,46
52,60,47
33,41,28
28,36,23
42,50,37
39,47,34
49,57,44
45,53,38
39,47,32
45,53,38
63,71,56
39,47,32
23,31,16
27,35,20
34,42,27
43,52,35
43,52,35
34,43,26
30,39,22
39,48,31
52,61,44
45,53,40
44,52,39
32,40,27
20,28,15
15,26,12
17,28,14
23,35,21
35,47,33
44,56,42
40,52,38
44,55,41
45,56,42
40,48,35
31,39,26
47,55,42
25,33,20
25,33,22
25,33,22
25,33,22
26,34,23
27,35,24
29,37,26
38,46,35
47,55,44
43,51,40
29,37,26
28,36,25
31,39,28
41,49,38
48,56,45
40,48,37
40,48,35
30,38,25
46,54,39
43,51,36
43,51,36
38,46,31
32,40,25
42,50,35
37,45,30
42,50,35
35,43,28
33,41,26
35,43,28
38,46,31
45,53,38
45,53,38
36,44,29
39,50,34
50,61,45
56,67,51
46,57,41
38,49,33
45,56,40
41,52,38
22,33,19
21,29,16
32,40,27
43,51,38
43,51,38
39,47,34
37,45,32
40,48,37
43,51,38
51,55,41
52,56,41
37,41,26
35,39,24
26,30,15
47,51,36
56,58,45
38,40,27
53,55,42
60,62,49
66,66,54
67,67,55
67,67,57
71,71,61
73,73,63
74,74,64
72,72,62
63,63,53
57,59,48
61,63,52
63,65,54
58,60,49
49,52,41
46,49,38
48,54,42
49,55,43
48,56,43
46,54,41
45,53,40
43,51,38
37,48,34
33,44,30
41,49,36
30,38,25
33,41,28
36,44,31
39,47,34
43,51,38
47,55,40
62,70,55
62,69,53
51,58,42
42,49,33
41,48,32
39,46,28
34,41,23
33,37,20
35,39,24
31,33,20
48,50,39
47,49,38
37,39,28
41,43,32
44,46,35
42,42,32
42,42,32
40,40,28
30,30,18
36,36,24
41,41,29
47,47,35
31,31,19
33,33,21
38,39,25
34,36,22
41,44,27
33,36,19
46,49,32
31,34,17
43,46,29
31,34,17
34,37,20
31,34,17
41,44,27
36,39,22
41,44,27
38,41,24
29,32,15
35,38,21
26,29,12
29,33,18
33,37,22
36,40,25
21,25,10
18,22,7
29,33,18
32,36,21
35,39,24
28,32,17
42,46,31
27,31,16
31,35,20
37,41,26
17,21,6
13,17,2
17,21,6
17,21,6
19,23,8
11,15,0
22,26,11
33,37,22
20,24,9
19,23,8
29,33,18
27,31,14
26,30,13
27,31,14
21,25,8
15,19,2
26,30,13
31,35,18
18,22,5
20,27,9
26,33,15
21,28,10
7,14,0
16,23,5
44,51,33
45,52,34
17,24,6
15,22,4
25,32,14
26,33,15
26,33,15
36,43,25
41,48,30
35,42,24
28,35,17
30,37,19
28,35,17
25,32,14
26,33,15
26,33,15
19,26,8
20,25,5
31,36,16
24,27,8
25,28,9
16,19,0
19,22,3
41,42,24
48,49,31
44,46,25
47,49,28
49,48,28
48,47,27
42,41,21
33,32,12
29,28,8
32,31,11
36,38,17
39,41,20
38,40,19
38,40,19
39,41,19
47,49,27
53,55,33
44,46,24
34,38,15
36,40,17
37,42,20
47,52,30
27,32,10
37,42,20
47,52,30
36,41,19
48,51,32
50,53,34
33,36,19
29,32,15
28,31,14
33,36,19
24,27,10
35,38,21
33,34,20
48,49,33
55,53,38
53,52,34
52,51,33
39,38,20
31,29,14
35,33,18
38,35,20
47,44,29
30,27,12
31,28,13
28,24,12
28,24,12
34,30,18
32,28,16
28,22,10
27,21,9
29,26,11
34,31,16
32,29,14
43,40,25
47,44,29
38,35,20
45,39,25
52,46,32
50,44,30
56,50,36
58,52,38
51,45,31
43,37,23
40,34,20
31,39,26
48,56,43
55,63,50
47,55,42
41,49,36
41,49,36
47,55,42
58,66,53
42,50,35
29,37,22
26,34,19
27,35,20
21,29,14
22,30,15
26,34,19
22,31,14
19,28,11
29,38,19
36,45,26
35,44,25
34,43,24
36,45,26
36,45,28
33,42,25
46,55,38
34,43,26
29,38,21
37,46,29
42,50,35
35,43,28
27,35,20
25,33,18
25,33,22
33,41,30
30,38,27
27,35,24
31,39,28
28,36,25
29,37,26
39,47,36
37,45,34
29,37,26
30,38,27
34,42,31
30,38,27
28,36,25
33,41,30
37,45,34
40,47,39
42,49,41
41,49,38
49,57,46
33,41,28
27,35,22
23,31,16
34,42,27
46,54,39
36,44,29
46,54,39
42,50,35
46,54,41
44,52,39
37,45,32
42,50,37
42,50,37
47,55,42
47,55,40
49,57,42
46,54,39
50,58,43
31,39,24
33,41,26
29,37,22
31,39,24
35,44,27
38,47,30
37,46,29
36,45,28
38,47,30
41,50,33
32,40,27
40,48,35
38,46,33
28,36,23
18,29,15
16,27,13
23,35,21
39,51,37
37,49,35
30,42,28
34,45,31
36,47,33
38,46,33
33,41,28
47,55,42
25,33,20
22,30,19
23,31,20
27,35,24
31,39,28
33,41,30
33,41,30
35,43,32
39,47,36
52,60,49
37,45,34
32,40,29
29,37,26
37,45,34
46,54,43
39,47,36
39,47,34
52,60,47
55,63,48
38,46,31
38,46,31
43,51,36
33,41,26
27,35,20
16,24,9
26,34,19
31,39,24
33,41,26
28,36,21
31,39,24
48,56,41
53,61,46
40,48,33
34,45,29
43,54,38
47,58,42
37,48,32
30,41,25
36,47,31
34,45,31
17,28,14
28,36,23
33,41,28
35,43,30
31,39,26
26,34,21
28,36,23
35,43,32
41,47,35
35,39,25
35,39,24
25,29,14
38,42,27
38,42,27
53,57,42
65,67,54
66,68,55
63,65,52
62,64,51
62,62,50
62,62,50
65,65,55
69,69,59
75,75,65
79,79,69
74,74,64
67,67,57
61,63,52
61,63,52
63,65,54
61,63,52
55,58,47
51,54,43
49,55,43
48,54,42
45,53,40
46,54,41
50,58,45
53,61,48
48,59,45
42,53,39
43,51,38
36,44,31
39,47,34
40,48,35
48,56,43
60,68,55
60,68,53
67,75,60
60,67,51
52,59,43
46,53,37
46,53,37
43,50,32
37,44,26
38,42,25
41,45,30
41,43,30
46,48,37
40,42,31
31,33,22
34,36,25
41,43,32
44,44,34
44,44,34
37,37,25
34,34,22
39,39,27
33,33,21
36,36,24
27,27,15
32,32,20
33,34,20
33,36,19
39,42,25
40,43,26
46,49,32
40,43,26
42,45,28
37,40,23
37,40,23
28,31,14
36,39,22
35,38,21
33,36,19
25,28,11
20,23,6
27,30,13
29,32,15
26,30,15
27,31,16
31,35,20
20,24,9
16,20,5
27,31,16
31,35,20
38,42,27
42,46,31
41,45,30
15,19,4
17,21,6
31,35,20
23,27,12
21,25,10
23,27,12
25,29,14
26,30,15
12,16,1
16,20,5
25,29,14
17,21,6
15,19,4
15,19,4
33,37,20
35,39,22
38,42,25
34,38,21
25,29,12
25,29,12
29,33,16
28,32,15
18,25,7
22,29,11
22,29,11
14,21,3
15,22,4
33,40,22
40,47,29
28,35,17
31,38,20
26,33,15
